Year Purchased,Manufacturer,Model,Number, Unit Cost , Total Cost ,Authority,Request data,Notes,Order of entry,
23/04/2007,Platon Medical Ltd,TRUTONE ELECTROLARYNX COMPLETE KIT,1, £395.00 , £395.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,1,
17/05/2007,Speechmark Publishin Ltd,FRENCHAY E-TRAN FRAME & A4 INSTRUCTION CARD IN WALLET,1, £85.00 , £85.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,2,
14/12/2007,Techcess Limited,TELLUS SMART (INC MIND EXPRESS REALSPEAK & PCS SYMBOLS,1," £1,795.00 "," £1,795.00 ",Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,3,
17/12/2007,Kapitex Healthcare Ltd,PRODUCTS UP TO 25,3, £18.50 , £55.50 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,4,
24/01/2008,Inclusive Technology Ltd,GO TALK 9+,1, £99.00 , £99.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,5,
14/02/2008,Kapitex Healthcare Ltd,SERVOX DIGITAL COMMUNICATION AID,1, £490.00 , £490.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,6,
14/02/2008,Kapitex Healthcare Ltd,PRODUCTS UP TO 25,6, £18.50 , £111.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,7,
15/02/2008,Dynavox Systems Ltd,DYNAVOX V 512MB WITH CARRY CASE WIFI USB BLUETOOTH,1," £5,000.00 "," £5,000.00 ",Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,8,
15/04/2008,WINSLOW,SWALLOW REMINDER BROACH,1, £57.95 , £57.95 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,9,
17/04/2008,Bay PLastics,PRODUCTS BETWEEN 25 - 100,2, £29.00 , £58.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,10,
02/07/2008,Kapitex Healthcare Ltd,PRODUCTS UP TO 25,10, £18.50 , £185.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,11,
25/07/2008,Kapitex Healthcare Ltd,SERVOX DIGITAL COMMUNICATION AID,1, £535.00 , £535.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,12,
29/08/2008,SMARTBOX,THE GRID 2  SOFTWARE,1, £360.00 , £360.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,13,
29/08/2008,QUALITY ENABLING DEVICES,PING PONG SWITCH,1, £195.00 , £195.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,14,
29/08/2008,SMARTBOX,PRODUCTS BETWEEN 25 - 100,1, £49.00 , £49.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,15,
03/09/2008,Inclusive Technology Ltd,TASH SOFT SWITCH GREEN,1, £59.00 , £59.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,16,
03/09/2008,Inclusive Technology Ltd,TASH MICROLIGHT SWITCH,1, £45.00 , £45.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,17,
03/09/2008,Toby Churchill Ltd,LIGHTWRIGHTER CHARGER 9V (FOR ALL LIGHTWRIGHTERS),3, £14.50 , £43.50 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,18,
07/10/2008,LAPTOPS DIRECT,TOSHIBA SATELLITE L300D LAPTOP,1, £272.32 , £272.32 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,19,
01/12/2008,Toby Churchill Ltd,PRINTER FOR SL20.30 LIGHTWRIGHTERS,1, £100.00 , £100.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,20,
09/01/2009,QUALITY ENABLING DEVICES,HEADSET MICROPHONE TO BE USED WITH FREIBURG AMPLIFIER,1, £431.25 , £431.25 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,21,
10/03/2009,Toby Churchill Ltd,PRINTER FOR SL20.30 LIGHTWRIGHTERS,1, £186.00 , £186.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,22,
10/03/2009,Toby Churchill Ltd,PRODUCTS UP TO 25,1, £5.00 , £5.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,23,
12/03/2009,SMARTBOX,PRODUCTS BETWEEN 25 - 100,1, £49.00 , £49.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,24,
12/03/2009,Toby Churchill Ltd,LIGHTWRIGHTER CHARGER 9V (FOR ALL LIGHTWRIGHTERS),2, £14.50 , £29.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,25,
17/03/2009,Save on Samsung,SAMSUNG Q1 ULTRA MOBILE PC,1, £649.49 , £649.49 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,26,
17/03/2009,SMARTBOX,THE GRID 2  SOFTWARE,1, £360.00 , £360.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,27,
05/05/2009,Toby Churchill Ltd,WHEELCHAIR MIDI CLAM ASSEMBLY,1, £130.00 , £130.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,28,
05/05/2009,Inclusive Technology Ltd,POWERLINK,1, £129.00 , £129.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,29,
05/05/2009,Inclusive Technology Ltd,CRICK USB SWITCH BOX,1, £99.00 , £99.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,30,
05/05/2009,Inclusive Technology Ltd,JIGSAW MAKER 2 SOFTWARE,1, £69.00 , £69.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,31,
05/05/2009,Inclusive Technology Ltd,SWITCH IT MAKER 2 SOFTWARE,1, £69.00 , £69.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,32,
05/05/2009,Toby Churchill Ltd,PRODUCTS BETWEEN 25 - 100,1, £25.00 , £25.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,33,
05/05/2009,Toby Churchill Ltd,PRODUCTS UP TO 25,3, £6.80 , £20.40 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,34,
05/06/2009,QUALITY ENABLING DEVICES,BIGMACK COMMUNICATION AID,1, £89.00 , £89.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,35,
05/06/2009,QUALITY ENABLING DEVICES,BIGMACK COMMUNICATION AID,1, £89.00 , £89.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,36,
05/06/2009,QUALITY ENABLING DEVICES,PRODUCTS BETWEEN 25 - 100,1, £40.00 , £40.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,37,
12/06/2009,SMARTBOX,PRODUCTS BETWEEN 101-300,1, £285.00 , £285.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,38,
21/07/2009,Save on Samsung,SAMSUNG Q1 ULTRA MOBILE PC,1, £560.38 , £560.38 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,39,
21/07/2009,SMARTBOX,THE GRID 2  SOFTWARE,1, £360.00 , £360.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,40,
21/07/2009,SMARTBOX,PROTECTIS SHELLS HARD CASE FOR Q! WITH AMPLIFIER,1, £285.00 , £285.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,41,
27/08/2009,Possum Controls Ltd,PRODUCTS BETWEEN 25 - 100,1, £57.00 , £57.00 ,Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,42,
02/10/2009,Possum Controls Ltd,JIVE HANDHELD COMMUNICATION AID,1," £2,395.00 "," £2,395.00 ",Swindon PCT,http://www.whatdotheyknow.com/request/provision_of_augmentative_and_al_95/new,,43,
