Year Purchased,Model,Number,Authority,Request data
2006,Lightwriter,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2006,E Tran Frame & Eye Can Board & Overlay,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2006,Digital Electronic Larynx,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2006,Armstrong Mounting System,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2006,Big Macks,6,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2007,Light Touch Keyboard with Balloon Speech System,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2007,Switchit “Bob the Builder”,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2007,Crick USB Switch Box,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2007,Smartbox - The Crick & Joycable,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2007,LCD Touch Monitor – Boardmake & Switchboxes,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Waistband Amplifier Systems,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, I Talk Communication Aids,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Partner with Place & Big Steps,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Go Talk with 2 adapters,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Digital Cameras,6,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Talking Photo Albums,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Base Trainers with mounting,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Crick USB Switch Box,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Partner Switches,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Partner Switches,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Go Talk & 1 Spinner,8,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008,0 Big Mack’s,10,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Laminator,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Electrolarynx Kit,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Lightwriter System,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Digital Camcorder,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Tellus Mobi with Wheelchair Mounting,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2008, Little Mack Switches,6,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Lightwriter’s with,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Electronic Writin,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Ablenet Powerlin,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Springboard Lite,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Big Mack’s,8,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Go Talk,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,I Talk with Switch,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Partner Plus Ste,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2009,Go Talk 9+,4,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Board Make Plus & 1 Talk 2 Aid,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Megabee Writing Tablet,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Partner Four Plus,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Jelly Bean Twist Switches,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Talking Photo Albums,3,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Big Mack Switches,6,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Lightwriter,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Jelly Bean Twist,2,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Finger Button,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Springboard Lite System,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
2010,Lightwriter,1,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new
