Year Purchased,Model,Number,Authority,Request data,Notes,Order of entry
2006,Minimo and Access,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,1
2006,Say it sam palmtop computer ,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,2
2006,advocate,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,3
2006,Say it sam palmtop computer ,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,4
2006,Minimo and Access,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,5
2008,Echovoice ampliifer,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,6
2008,Say it sam palmtop computer ,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,7
2008,Lightwriter,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,8
2008,Dynavox V MAX,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,9
2008,Dynawrite,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,10
2008,Lightwriter SL35,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,11
2008,Lightwriter SL35,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,12
2009,Springboard Lite,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,13
2009,Echovoice EV4,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,14
2009,Dynavox V MAX,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,15
2010,Proxtalker with backpack,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,16
2010,Jive Portable Comm Aid,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,17
2010,Falck 1001 Amplifier,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,18
2010,Echovoice,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,19
2010,Ipod bundle,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,20
2010,Partner Four Plus Standard,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,21
2011,Springboard Lite,1,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,22
2008,Advocate ,3,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,23
2008,Dynavox DV4 ,7,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,24
2008,Dynavox M3 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,25
2008,Dynavox DV4 ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,26
2008,Dynavox MT4 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,27
2008,Go Talk 4 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,28
2008,iTalk2 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,29
2008,Dynavox V Max ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,30
2008,Say It Sam Tablet ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,31
2008,Big Mac ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,32
2008,iTalk 2 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,33
2008,MyTobii P10 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,34
2008,Dynavox V Max ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,35
2008,Big Mac ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,36
2008,Lightwriter SL40 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,37
2008,PowerBox ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,38
2011,ProxTalker ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,39
2011,Dynavox Express ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,40
2011,E-Tran Frame ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,41
2011,Lightwriter SL40 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,42
2011,Advocate ,5,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,43
2011,Tobii S32 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,44
2011,iTouch ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,45
2011,UniTech Pen ,3,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,46
2011,Dynavox M3 ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,47
2011,Lightwriter SL40 ,4,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,48
2011,iPad ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,49
2011,Dynavox V Max ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,50
2011,Advocate ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,51
2011,Vocaflex ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,52
2011,Jive ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,53
2011,MegaBee ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,54
2011,Mini Voice Amp ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,55
2011,iPhone ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,56
2011,iPad ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,57
2011,SuperVoca ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,58
2011,UniTech Pen ,3,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,59
2011,iTalk 2 ,2,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,60
2011,Gotalk 9 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,61
2011,MyTobii C8 ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,62
2011,Springboard Lite ,1,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,63
2006,DIGITAL ARTIFICIAL LARYNX,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261833,,64
2006,E-TRAN FRAME,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261834,,65
2006,LITTLEMACK,5,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261835,,66
2006,TECH SPEAK 32X6 LEVELS,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261836,,67
2006,GO TALK 9+,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261837,,68
2006,GO TALK 20+,3,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261838,,69
2006,BIGMACK,6,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261839,,70
2006,LIGHTWRITER SL35,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261840,,71
2006,TALKING PHOTO ALBUM,5,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261841,,72
2006,FALCK VOICE AMPLIFIER,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261842,,73
2006,iTalk2 Communicator,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261843,,74
2006,PARTNER FOUR,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261844,,75
2006,CHAT PC-II,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261845,,76
2006,ECHO VOICE AMPLIFIER,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261846,,77
2007,TECH SCAN 32 PLUS,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261847,,78
2007,ECHO VOICE AMPLIFIER,4,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261848,,79
2007,SL35 LIGHTWRITER +DECTALK,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261849,,80
2007,CHAT PC-M3,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261850,,81
2007,DIGITAL ARTIFICIAL LARYNX,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261851,,82
2007,BIG MACK,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261852,,83
2007,TECH SCAN 8 PLUS,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261853,,84
2007,TECH SPEAK 32x4 LEVELS,5,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261854,,85
2007,SWALLOW REMINDER,4,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261855,,86
2007,4TALK4 COMMUNICATOR,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261856,,87
2007,SUPERTALKER,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261857,,88
2007,TECH TALK 8X6 LEVELS,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261858,,89
2008,BOARDMAKER ACTIVITY PAD,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261859,,90
2008,SWALLOW REMINDER,4,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261860,,91
2008,TALKING PHOTO ALBUM,10,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261861,,92
2008,TECH SPEAK 32X6 LEVELS,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261862,,93
2008,FALCK VOICE AMPLIFIER,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261863,,94
2008,BIG MACK,5,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261864,,95
2008,DIGITAL ARTIFICIAL LARYNX,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261865,,96
2008,ECHO VOICE AMPLIFIER,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261866,,97
2009,BIG MACK,6,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261867,,98
2009,TALKING PHOTO ALBUM,5,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261868,,99
2009,SUPERTALKER,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261869,,100
2009,TECH TALK 8X8 LEVELS,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261870,,101
2009,DIGITAL ARTIFICIAL LARYNX,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261871,,102
2009,FALCK VOICE AMPLIFIER 1003,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261872,,103
2009,ECHO VOICE AMPLIFIER,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261873,,104
2009,SL40 LIGHTWRITER,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261874,,105
2009,TOUCHSPEAK PDA,4,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261875,,106
2009,ADVOCATE+ COMMUNICATOR,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261876,,107
2009,JIVE COMMUMICATOR,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261877,,108
2009,SWALLOW REMINDER,3,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261878,,109
2010,TALKING PHOTO ALBUM,10,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261879,,110
2010,FALCK AMPLIFIER,3,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261880,,111
2010,ADVOCATE+ COMMUNICATOR,2,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261881,,112
2010,SWALLOW REMINDER,4,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261882,,113
2010,PROXTALKER,1,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261883,,114
