Year Purchased,Manufacturer,Model,Number,Aprox. Unit Price,,Authority,Request data,Notes,0rder of Entry,
2006,Dynavox,Minimo,1," £2,095.00 "," £2,095.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,1,
2006,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,2,
2006,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,3,
2006,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,4,
2006,Dynavox,Minimo,1," £2,095.00 "," £2,095.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,5,
2008,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,6,
2008,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,7,
2008,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,8,
2008,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,9,
2008,Dynavox,Dynawrite,1," £2,210.00 "," £2,210.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,10,
2008,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,11,
2008,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,12,
2009,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,13,
2009,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,14,
2009,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,15,
2010,Logan,Proxtalker,1," £1,695.00 "," £1,695.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,16,
2010,Possum,Jive,1," £2,395.00 "," £2,395.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,17,
2010,Falck,Voice Amplifier,1, £621.89 , £621.89 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,18,
2010,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,19,
2010,Apple,iPod,1, £249.00 , £249.00 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,20,
2010,AMDi,Partner Four Plus,1, £199.00 , £199.00 ,Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,21,
2011,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Aneurin Bevan,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,22,
2008,Toby Churchill,adVOCATe,3, £474.00 ," £1,422.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,23,
2008,Dynavox,DV4,7," £5,825.00 "," £40,775.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,24,
2008,Dynavox,M3,1," £4,078.83 "," £4,078.83 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,25,
2008,Dynavox,DV4,2," £5,825.00 "," £11,650.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,26,
2008,Dynavox,MT4,1," £5,350.00 "," £5,350.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,27,
2008,Attainment Company Inc,Go Talk 4+,1, £94.00 , £94.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,28,
2008,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,29,
2008,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,30,
2008,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,31,
2008,Ablenet,Big Mack,1, £84.00 , £84.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,32,
2008,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,33,
2008,Tobii,MyTobii P10,1," £12,480.00 "," £12,480.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,34,
2008,Dynavox,V Max,2," £7,044.13 "," £14,088.26 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,35,
2008,Ablenet,Big Mack,1, £84.00 , £84.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,36,
2008,Toby Churchill,SL40 LIGHTWRITER,1," £3,300.00 "," £3,300.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,37,
2008,SMARTBOX ASSISTIVE TECHNOLOGY LTD                                ,Powerbox 7,1," £3,950.00 "," £3,950.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,38,
2011,Logan,Proxtalker,1," £1,695.00 "," £1,695.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,39,
2011,Dynavox,Xpress,2," £4,694.13 "," £9,388.26 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,40,
2011,Liberator,E-Tran Frame,2, £120.00 , £240.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,41,
2011,Toby Churchill,SL40 LIGHTWRITER,1," £3,300.00 "," £3,300.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,42,
2011,Toby Churchill,adVOCATe,5, £474.00 ," £2,370.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,43,
2011,Tobii,S32,1, £725.00 , £725.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,44,
2011,Apple,iPod,2, £249.00 , £498.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,45,
2011,Unitech,Pen Scanner,3, £89.16 , £267.48 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,46,
2011,Dynavox,M3,2," £4,078.83 "," £8,157.66 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,47,
2011,Toby Churchill,SL40 LIGHTWRITER,4," £3,300.00 "," £13,200.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,48,
2011,Apple,iPad,1, £329.00 , £329.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,49,
2011,Dynavox,V Max,2," £7,044.13 "," £14,088.26 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,50,
2011,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,51,
2011,Toby Churchill,Vocaflex ,1, £784.00 , £784.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,52,
2011,Possum,Jive,1," £2,395.00 "," £2,395.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,53,
2011,MegaBee,MegaBee,1, £786.00 , £786.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,54,
2011,Toby Churchill,Mini Voice Amplifier,2, £195.00 , £390.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,55,
2011,Apple,iPhone,1, £529.00 , £529.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,56,
2011,Apple,iPad,1, £329.00 , £329.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,57,
2011,Liberator,SuperVoca,1," £2,500.00 "," £2,500.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,58,
2011,Unitech,Pen Scanner,3, £89.16 , £267.48 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,59,
2011,Ablenet,iTalk2 Communication Aid,2, £95.00 , £190.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,60,
2011,Attainment Company Inc,Go Talk 9+,1, £104.00 , £104.00 ,Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,61,
2011,Tobii,C8,1," £4,840.00 "," £4,840.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,62,
2011,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Cardiff and Vale University,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,63,
2006,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261833,,64,
2006,Liberator,E-Tran Frame,2, £120.00 , £240.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261834,,65,
2006,Ablenet,LITTLEMACK,5, £84.00 , £420.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261835,,66,
2006,AMDi,Tech/Speak 32 - 32 x 6 Levels,2, £595.00 ," £1,190.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261836,,67,
2006,Attainment Company Inc,GO TALK 9+,2, £104.00 , £208.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261837,,68,
2006,Attainment Company Inc,GO TALK 20+,3, £114.00 , £342.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261838,,69,
2006,Ablenet,Big Mack,6, £84.00 , £504.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261839,,70,
2006,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261840,,71,
2006,Augmentative Communication Inc.,TALKING PHOTO ALBUM,5, £18.91 , £94.55 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261841,,72,
2006,Falck,Voice Amplifier,2, £621.89 ," £1,243.78 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261842,,73,
2006,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261843,,74,
2006,AMDi,Partner Four Plus,1, £199.00 , £199.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261844,,75,
2006,Liberator,ChatPC,2," £1,995.00 "," £3,990.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261845,Was CHAT PC-II,76,
2006,EchoVoice,EV5 speech Amplifier,2, £378.00 , £756.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261846,,77,
2007,AMDi,Tech/Scan 32 plus ECU,1," £1,660.00 "," £1,660.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261847,assuming 'ecu' was missed off the end,78,
2007,EchoVoice,EV5 speech Amplifier,4, £378.00 ," £1,512.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261848,,79,
2007,Toby Churchill,SL35 Lightwriter,2," £2,930.00 "," £5,860.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261849,,80,
2007,Liberator,ChatPC,1," £1,995.00 "," £1,995.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261850,"was ""CHAT PC-M3""",81,
2007,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261851,,82,
2007,Ablenet,BIG MACK,1, £84.00 , £84.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261852,,83,
2007,AMDi,Tech/Scan 8,1, £795.00 , £795.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261853,,84,
2007,AMDi,Tech/Speak 32 - 32 x 4 Levels,5, £459.00 ," £2,295.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261854,,85,
2007,Winslow,SWALLOW REMINDER,4, £70.74 , £282.96 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261855,,86,
2007,Liberator,4Talk4,2, £229.00 , £458.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261856,,87,
2007,Inclusive,SUPERTALKER,1, £220.00 , £220.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261857,,88,
2007,AMDi,Tech/Talk 8 - 8 x 6 Levels,1, £349.00 , £349.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261858,,89,
2008,Dynavox,BOARDMAKER ACTIVITY PAD,1, £649.00 , £649.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261859,,90,
2008,Winslow,SWALLOW REMINDER,4, £70.74 , £282.96 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261860,,91,
2008,Augmentative Communication Inc.,TALKING PHOTO ALBUM,10, £18.91 , £189.10 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261861,,92,
2008,AMDi,Tech/Speak 32 - 32 x 6 Levels,1, £595.00 , £595.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261862,,93,
2008,Falck,Voice Amplifier,1, £621.89 , £621.89 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261863,,94,
2008,Ablenet,BIG MACK,5, £84.00 , £420.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261864,,95,
2008,Servox,Digital Electronic Larynx,1, £520.00 , £520.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261865,,96,
2008,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261866,,97,
2009,Ablenet,BIG MACK,6, £84.00 , £504.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261867,,98,
2009,Augmentative Communication Inc.,TALKING PHOTO ALBUM,5, £18.91 , £94.55 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261868,,99,
2009,Inclusive,SUPERTALKER,2, £220.00 , £440.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261869,,100,
2009,AMDi,Tech/Talk 8 - 8 x 8 Levels,1, £389.00 , £389.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261870,,101,
2009,Servox,Digital Electronic Larynx,1, £520.00 , £520.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261871,,102,
2009,Falck,Voice Amplifier,1, £621.89 , £621.89 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261872,,103,
2009,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261873,,104,
2009,Toby Churchill,SL40 LIGHTWRITER,2," £3,300.00 "," £6,600.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261874,,105,
2009,HTC,TouchSpeak HTC 7500,4, £600.00 ," £2,400.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261875,,106,
2009,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261876,,107,
2009,Possum,Jive,1," £2,395.00 "," £2,395.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261877,,108,
2009,Winslow,SWALLOW REMINDER,3, £70.74 , £212.22 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261878,,109,
2010,Augmentative Communication Inc.,TALKING PHOTO ALBUM,10, £18.91 , £189.10 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261879,,110,
2010,Falck,Voice Amplifier,3, £621.89 ," £1,865.67 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261880,,111,
2010,Toby Churchill,adVOCATe,2, £474.00 , £948.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261881,"Was ""ADVOCATE+ COMMUNICATOR"" ",112,
2010,Winslow,SWALLOW REMINDER,4, £70.74 , £282.96 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261882,,113,
2010,Logan,PROXTALKER,1," £1,695.00 "," £1,695.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261883,,114,
2010,Liberator,ChatPC Silk,1," £1,995.00 "," £1,995.00 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261884,,115,
2010,Augmentative Communication Inc.,TALKING PHOTO ALBUM,5, £18.91 , £94.55 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261885,,116,
2010,Unknown,EYE-COM BOARD,2, £50.38 , £100.76 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261886,,117,
2011,Falck,Voice Amplifier,4, £621.89 ," £2,487.56 ",Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261887,,118,
2011,Ablenet,Big Mack,2, £84.00 , £168.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261888,,119,
2011,Winslow,SWALLOW REMINDER,8, £70.74 , £565.92 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261889,,120,
2011,AMDi,Tech/Scan 8,1, £795.00 , £795.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261890,,121,
2011,EchoVoice,EV5 speech Amplifier,2, £378.00 , £756.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261891,,122,
2011,Inclusive,BIG POINT,5, £8.50 , £42.50 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261892,,123,
2011,Toby Churchill,Mini Voice Amplifier,1, £195.00 , £195.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261893,,124,
2011,EchoVoice,EV5 speech Amplifier,2, £378.00 , £756.00 ,Betsi Cadwaladr University,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261894,,125,
2006,?,Makaton signing for babies,1,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,126,
2006,?,PECs video,1,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,127,
2007,Dynavox,Boardmaker,1, £209.00 , £209.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,128,
2007,?,Pokit,1,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,129,
2007,Widgit,Let's sign and write (pack),1, £80.00 , £80.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,130,
2007,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,131,
2007,Inclusive,SuperTalker,1, £220.00 , £220.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,132,
2008,?,Pyramid Schedule Board,1,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,133,
2008,?,Makaton core vocabulary,2,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,134,
2009,?,Smartboard,1,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,135,
2009,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,136,
2009,Eagle,Waistband amplifier,1, £59.00 , £59.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,137,
2009,Freiburg,Hand-held microphone,1, £244.00 , £244.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,138,
2009,Attainment Company Inc,Go Talk 4+,2, £94.00 , £188.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,139,
2009,Attainment Company Inc,Go Talk 9+,2, £104.00 , £208.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,140,
2009,Attainment Company Inc,Go Talk 20+,2, £114.00 , £228.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,141,
2009,Toby Churchill,Lightwriter ,2," £3,045.00 "," £6,090.00 ",Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,142,
2009,Falck,Voice Amplifier,1, £621.89 , £621.89 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,143,
2009,Enabling Devices,Eye blink switch,1, £88.62 , £88.62 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,144,
2010,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,145,
2010,Talking Mats,Talking Mats,1, £66.00 , £66.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,146,
2010,SMARTBOX ASSISTIVE TECHNOLOGY LTD                                ,FuturePad XP 8Gb ,1," £2,915.00 "," £2,915.00 ",Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,147,
2010,Liberator,E-Tran Frame,1, £120.00 , £120.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,148,
2010,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,149,
2010,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,150,
2010,?,Throat Amp and mics,1,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,151,
2010,Augmentative Communication Inc.,talking photo album,5, £18.91 , £94.55 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,152,
2011,Widgit,Matrix Maker Plus,5, £79.00 , £395.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,153,
2011,Apple,iPad,3, £329.00 , £987.00 ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,154,
2011,Liberator,vantage lite,1," £5,994.00 "," £5,994.00 ",Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,155,
2011,?,communcation books,5,,  £-   ,Powys,http://www.whatdotheyknow.com/request/aac_purchases_8/new,,156,FUNCTIONAL LARYNX ZKH-930-X (the one after) was deleted because it was a teaching aid rather than for AAC
25/02/09,Trutone,Electrolarynx Complete Kit ,1, £395.00 , £395.00 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,158,
25/10/07,Griffin,SoniVox,1, £156.78 , £156.78 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,159,
25/10/07,Griffin,SoniVox,1, £156.78 , £156.78 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,160,
02/04/08,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,161,
21/06/06,Dynavox,MightyMo,1," £2,395.00 "," £2,395.00 ",Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,162,
12/03/08,#N/A,Airlink remote switch (for children with severe learning disabilities),1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,163,
02/03/07,#N/A,Switch Skills 1,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,164,
02/03/07,Traxsys,Inclusive Scan4,1, £829.38 , £829.38 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,165,
