Year Purchased,Supplier,Model,Number, Price , Total Price ,Authority,Request data,Notes,Order of entry,0
01/01/2011,Ability World," V Pen starter pack + 1 voice board bundle (3 symbols 96, 216, 432 and 96) Word Board",1," £1,430.00 "," £1,430.00 ",Northern,http://www.whatdotheyknow.com/request/aac_purchases_10?post_redirect=19,,191,
04/06/2007,Voice Amp 601l,??,, £390.66 , £-   ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,225,
01/02/2012,Apple,£400 iTunes vouchers,1, £400.00 , £400.00 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286828,,172,
01/10/2008,QED,Access swtich medium,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286725,,69,
01/10/2008,Inclusive,Adjustable pressure switch,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286700,,44,
01/10/2008,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286662,,6,
22/02/2008,TCL,Air pad Switch,1, £64.00 , £64.00 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,230,
01/02/2009,Smartbox AT,Alea IG30,1," £5,874.00 "," £5,874.00 ",Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286768,,112,
01/10/2008,Inclusive,Allie G,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286713,,57,
01/10/2008,Techcess,Allora with keyguard,1," £2,908.13 "," £2,908.13 ",Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286687,,31,
07/12/2010,Frenchay,Alphabet baord,1, £75.00 , £75.00 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,232,
15/12/2011,Freiburg,Amplifier,1, £891.60 , £891.60 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,235,
01/01/2012,Inclusive,bandits kit,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286811,,155,
01/10/2008,Liberator,battery switch adapters,2,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286684,,28,
01/01/2012,Inclusive,Big grips,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286789,,133,
01/10/2008,QED,Big Mack,1, £84.00 , £84.00 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286727,,71,
01/10/2008,QED,big red switch,2,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286724,,68,
24/01/2008,Ablenet,Big red switch,1, £27.00 , £27.00 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,228,
25/04/2007,Ablenet,Big red switch,1,, £-   ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,223,
01/10/2008,Inclusive,BIG step-by-step,1, £135.00 , £135.00 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286718,,62,
01/10/2008,Liberator,Big track super mouse,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286747,,91,
01/01/2012,Inclusive,big track with switch sockets,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286797,,141,
01/02/2012,Inclusive,Blue2 bluetooth switch,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286825,,169,
01/10/2008,QED,BOARDMAKER ACTIVITY PAD,1, £649.00 , £649.00 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286731,,75,
01/01/2011,Smartbox AT,C12 + CEYE,1," £10,275.00 "," £10,275.00 ",Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286773,,117,
01/12/2011,Smartbox AT,C15,1," £7,152.00 "," £7,152.00 ",Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286784,,128,
01/01/2011,Smartbox,Call 2 Call talk for the Grid 2 ,1, £220.00 , £220.00 ,Northern,http://www.whatdotheyknow.com/request/aac_purchases_10?post_redirect=22,,194,
01/10/2008,Liberator,Cardinal,1, £446.48 , £446.48 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286754,,98,
01/01/2011,Smartbox,Carriage,1, £40.00 , £40.00 ,Northern,http://www.whatdotheyknow.com/request/aac_purchases_10?post_redirect=27,,199,
01/10/2008,SmartboxAT,cassiopea with grid mobile,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286674,,18,
01/10/2008,Liberator,ChatPC,1," £1,995.00 "," £1,995.00 ",Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286677,,21,
01/10/2008,Liberator,ChatPC,2," £1,995.00 "," £3,990.00 ",Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286745,,89,
01/10/2008,QED,Chiayo Cordless with headset,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286691,,35,
01/10/2008,QED,Chiayo cordless with lapel mic,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286692,,36,
01/10/2008,Inclusive,Click on,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286715,,59,
01/02/2012,Inclusive,cling plate evaluation kit,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286824,,168,
01/01/2011,Mounts and More,Daessy Desk Mount PowerBox,1, £205.00 , £205.00 ,Northern,http://www.whatdotheyknow.com/request/aac_purchases_10?post_redirect=25,,197,
01/03/2011,Servox,Digital,2, £520.00 ," £1,040.00 ",South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,234,
27/09/2007,Servex,Digital Electronic Larynx,1, £520.00 , £520.00 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,227,
06/03/2006,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,215,
02/02/2006,Servex,Digital Electronic Larynx,1, £520.00 , £520.00 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,213,
01/01/2012,Inclusive,disc switch,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286805,,149,
01/01/2012,Inclusive,dome switch,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286804,,148,
01/10/2008,Keytools,Dragon preferred 10,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286690,,34,
01/10/2008,Keytools,Dual Footswitch,1, £139.89 , £139.89 ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286688,,32,was footmouse but keytools don't make them.
15/05/2007,Dynavox,Dynawrite,1," £2,210.00 "," £2,210.00 ",South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,224,
06/01/2006,,E-tran frame,1, £120.00 , £120.00 ,South Eastern,http://www.whatdotheyknow.com/request/aac_purchases_11#incoming-287745,,209,
01/01/2012,Inclusive,easi trax,1,, £-   ,Belfast,http://www.whatdotheyknow.com/request/aac_purchases_9#incoming-286800,,144,
01/01/2011,QED,ESP/1 Waistband speech amplifier,1, £90.00 , £90.00 ,Northern,http://www.whatdotheyknow.com/request/aac_purchases_10?post_redirect=36,,208,
