Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2006,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,1,,
2006,Liberator,E-Tran Frame,1, £120.00 , £120.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,2,,
2006,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,3,,
2006,Ablenet,Armstrong Mounting System,1, £190.00 , £190.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,4,,
2006,Ablenet,Big Mack,6, £84.00 , £504.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,5,,
2007,?,Light Touch Keyboard with Balloon Speech System,1, ? , ? ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,6,,
2007,Inclusive,Switchit “Bob the Builder”,1, £49.00 , £49.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,7,,
2007,Cricksoft,Crick USB Switch Box,2, £99.00 , £198.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,8,,
2007,Sensory Software International,Joycable2,1, £49.00 , £49.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,Changed from 'Smartbox - The Crick & Joycable' (added one to crick box as well),9,,
2007,Dynavox,Boardmaker,1, £209.00 , £209.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,10,,
2007,ELO,LCD Touch Monitor,1, £419.00 , £419.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,"Changed from'LCD Touch Monitor – Boardmake & Switchboxes' to just the moniter, then added a row for boardmaker and incremented Cruck USB switch box",11,,
2008,#N/A,Waistband Amplifier Systems,2,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,12,,
2008,Ablenet,iTalk2 Communication Aid,2, £95.00 , £190.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,13,,
2008,#N/A,Partner with Place & Big Steps,4,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,14,,
2008,Attainment Company Inc,Go Talk(unknown type),4, £130.00 , £520.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,15,,
2008,?,Digital Cameras,6,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,16,,
2008,Augmentative Communication Inc.,Talking Photo Album,2, £18.91 , £37.82 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,17,,
2008,#N/A,Base Trainers with mounting,2,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,18,,
